"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ontologyall","go","entrez","ensemblprot","symbol","path"
"ENSMUSG00000009647",31.2622973721963,-0.63749842810682,0.443605506062114,-1.43708411955003,0.150694092967144,0.282137212801313,"BP","Mcu","215999",NA,"GO:0005262",NA
"ENSMUSG00000089702",2.77119558011116,-1.08912411745514,0.758354173920754,-1.43616815850604,0.15095449720595,0.282575439892764,NA,NA,NA,NA,NA,NA
"ENSMUSG00000051257",1.79850490336686,-1.05503423088852,0.734908640199287,-1.43559916590779,0.15111643222563,0.282829219280628,"CC","Trap1a","22037","ENSMUSP00000059448","GO:0005634",NA
"ENSMUSG00000033147",2.97420433266826,1.09599548440557,0.764121216630169,1.43432149317747,0.151480539548886,0.283362376334865,"BP","Slc22a15","242126",NA,"GO:0006810",NA
"ENSMUSG00000035067",1.68852410738333,-1.01311525493635,0.706334459290078,-1.43432794706719,0.151478698661092,0.283362376334865,"BP","Xkr6","219149","ENSMUSP00000113708","GO:0003674",NA
"ENSMUSG00000041429",9.82275486278809,0.934695000491873,0.651615505168962,1.43442719376284,0.151450391982588,0.283362376334865,"BP","Nthl1","18207","ENSMUSP00000047413","GO:0000701","03410"
"ENSMUSG00000034278",13.9655362808829,0.834143192409676,0.581844111533486,1.43361972025676,0.151680812801175,0.283687545280858,"BP","Dnajc17","69408","ENSMUSP00000041841","GO:0000122",NA
"ENSMUSG00000018909",11.885140526779,-0.877739317427822,0.612519053436493,-1.43299920631584,0.151858064141493,0.283888855293496,"BP","Arrb1","109689",NA,"GO:0000187","04010"
"ENSMUSG00000093465",1.41982634879842,-0.982527851263672,0.685637608737833,-1.43301335682617,0.151854020256607,0.283888855293496,NA,NA,NA,NA,NA,NA
"ENSMUSG00000097723",3.56435133085102,1.09706097468038,0.765588108126398,1.43296501478476,0.151867835619815,0.283888855293496,NA,NA,NA,NA,NA,NA
"ENSMUSG00000023330",49.8503195089021,0.516199758602546,0.360257058043614,1.43286508085583,0.151896398133208,0.283892780343738,"BP","Dtwd1","69185",NA,"GO:0003674",NA
"ENSMUSG00000020621",62.8357692665981,0.436792582836837,0.304960873077894,1.43229057035546,0.152060680619449,0.284150319053378,"BP","Rdh14","105014","ENSMUSP00000020947","GO:0000252",NA
"ENSMUSG00000003363",30.3246305632663,0.605959983887306,0.423332728319432,1.431403582456,0.152314582271859,0.284426603761967,"BP","Pld3","18807",NA,"GO:0003824",NA
"ENSMUSG00000026201",60.8852116009236,0.468240351135785,0.327106362436792,1.43146207138134,0.152297829795252,0.284426603761967,"BP","Stk16","20872",NA,"GO:0000166",NA
