state,timestamp,season,number_mariages,year
Hessen,1,winter,5062,1990
Mecklenburg-Vorpommern,1,winter,1394,1990
Niedersachsen,1,winter,7082,1990
Nordrhein-Westfalen,1,winter,19520,1990
Rheinland-Pfalz,1,winter,3683,1990
Saarland,1,winter,1181,1990
Sachsen,1,winter,3147,1990
Sachsen-Anhalt,1,winter,2030,1990
Schleswig-Holstein,1,winter,2546,1990
Thüringen,1,winter,2016,1990
Baden-Württemberg,2,winter,9377,2003
Bayern,2,winter,10836,2003
Berlin,2,winter,2265,2003
Brandenburg,2,winter,1203,2003
Bremen,2,winter,620,2003
Hamburg,2,winter,1361,2003
Hessen,2,winter,5391,2003
Mecklenburg-Vorpommern,2,winter,958,2003
Niedersachsen,2,winter,7322,2003
Nordrhein-Westfalen,2,winter,18181,2003
Rheinland-Pfalz,2,winter,3794,2003
Saarland,2,winter,1104,2003
Sachsen,2,winter,1617,2003
Sachsen-Anhalt,2,winter,1147,2003
Schleswig-Holstein,2,winter,2886,2003
Thüringen,2,winter,1115,2003
Baden-Württemberg,3,winter,16873,2010
Bayern,3,winter,20512,2010
Berlin,3,winter,4272,2010
Brandenburg,3,winter,5651,2010
Bremen,3,winter,996,2010
Hamburg,3,winter,2458,2010
Hessen,3,winter,10111,2010
Mecklenburg-Vorpommern,3,winter,4731,2010
Niedersachsen,3,winter,13663,2010
Nordrhein-Westfalen,3,winter,26918,2010
Rheinland-Pfalz,3,winter,7591,2010
Saarland,3,winter,1781,2010
Sachsen,3,winter,8073,2010
Sachsen-Anhalt,3,winter,4650,2010
Schleswig-Holstein,3,winter,6178,2010
Thüringen,3,winter,4328,2010
Baden-Württemberg,4,winter,17538,2011
Bayern,4,winter,21385,2011
Berlin,4,winter,4340,2011
Brandenburg,4,winter,5697,2011
Bremen,4,winter,973,2011
Hamburg,4,winter,2334,2011
Hessen,4,winter,10537,2011
Mecklenburg-Vorpommern,4,winter,4814,2011
Niedersachsen,4,winter,14055,2011
Nordrhein-Westfalen,4,winter,27596,2011
Rheinland-Pfalz,4,winter,7789,2011
Saarland,4,winter,1791,2011
Sachsen,4,winter,7944,2011
Sachsen-Anhalt,4,winter,4598,2011
Schleswig-Holstein,4,winter,6430,2011
Thüringen,4,winter,4372,2011
Baden-Württemberg,5,winter,9561,2012
Bayern,5,winter,11357,2012
Berlin,5,winter,2351,2012
Brandenburg,5,winter,1480,2012
Bremen,5,winter,465,2012
Hamburg,5,winter,1110,2012
Hessen,5,winter,4952,2012
Mecklenburg-Vorpommern,5,winter,1248,2012
Niedersachsen,5,winter,6846,2012
Nordrhein-Westfalen,5,winter,16041,2012
Rheinland-Pfalz,5,winter,3671,2012
Saarland,5,winter,958,2012
Sachsen,5,winter,2180,2012
Sachsen-Anhalt,5,winter,1266,2012
Schleswig-Holstein,5,winter,2652,2012
Thüringen,5,winter,1251,2012
Baden-Württemberg,6,winter,7659,2013
Bayern,6,winter,9412,2013
Berlin,6,winter,2234,2013
Brandenburg,6,winter,1282,2013
Bremen,6,winter,415,2013
Hamburg,6,winter,1035,2013
Hessen,6,winter,4180,2013
Mecklenburg-Vorpommern,6,winter,963,2013
Niedersachsen,6,winter,5605,2013
Nordrhein-Westfalen,6,winter,13632,2013
Rheinland-Pfalz,6,winter,2922,2013
Saarland,6,winter,798,2013
Sachsen,6,winter,1772,2013
Sachsen-Anhalt,6,winter,1056,2013
Schleswig-Holstein,6,winter,2253,2013
Thüringen,6,winter,1052,2013
Baden-Württemberg,7,winter,8493,2014
Bayern,7,winter,9738,2014
Berlin,7,winter,2317,2014
Brandenburg,7,winter,1303,2014
Bremen,7,winter,448,2014
Hamburg,7,winter,961,2014
Hessen,7,winter,4495,2014
Mecklenburg-Vorpommern,7,winter,1095,2014
Niedersachsen,7,winter,5865,2014
Nordrhein-Westfalen,7,winter,14377,2014
Rheinland-Pfalz,7,winter,3065,2014
Saarland,7,winter,799,2014
Sachsen,7,winter,1969,2014
Sachsen-Anhalt,7,winter,1141,2014
Schleswig-Holstein,7,winter,2179,2014
Thüringen,7,winter,1121,2014
