A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML
329093	-2.18033667675614	7.56129146232914	10.1489476337459	2.58765617141676	15.2013736233871	20.9300695915137	3.16764506601659	2.06214697701464e-07	1.84193198435101e-08	0.00671410852035009	1	1	0
109294	2.09501668223907	1.00155878923883	0.780371491007232	-0.221187298231601	0.00279382133340309	0	0	0.502505911696744	0.660337981897293	0.930286754102531	0	0	0
240725	2.79158772895455	3.46964221845361	4.18523885392659	0.715596635472985	8.87716582246714	11.1620359437947	0	1.07079159140966e-05	1.98031874694892e-06	0.808567505703783	1	1	0
17978	7.17149645152099	-0.246254120938731	-0.378392379518945	-0.132138258580214	0	0	0	0.999902226390755	0.999633132397658	0.999980867634261	0	0	0
72265	7.218474551087	-1.03431520838986	-0.570929976484718	0.463385231905144	-0.286925927439752	0	0	0.390748598237708	0.996434907736413	0.99933178463576	0	0	0
212442	3.68418006496941	-1.12558995673063	-1.90839358372118	-0.782803626990544	-0.636935835511595	-4.8034870469185	0	0.271026993207757	0.000684728508334508	0.876527879937433	0	-1	0
14048	-0.31578347557175	6.58637425266105	7.65460531446712	1.06823106180607	9.14295695545769	10.558102322173	0.0953379272366325	9.39637979338241e-06	3.33718662351982e-06	0.473357667812671	1	1	0
17681	-0.407678803722747	-3.09120941393341	-5.18539372469105	-2.09418431075763	-4.20700336100507	-8.8384369165415	-3.2520882787924	0.00151948434827995	1.1518954392859e-05	0.00588135141397494	-1	-1	0
21749	3.37905967711005	0.497501439939733	0.285118275427461	-0.212383164512272	0	0	0	0.993837002042971	0.999286246308998	0.999594039253455	0	0	0
226866	1.46959186848006	6.99819701366057	7.17446379740094	0.176266783740368	15.8657365418426	17.4148571501715	0	1.45501234067365e-07	7.09629943605248e-08	0.968635953651536	1	1	0
19989	8.83242483067334	0.0127783312532053	0.331211181294044	0.318432850040839	0	0	0	0.999996468076452	0.999698889707238	0.99985562921872	0	0	0
98711	5.54616930611682	0.373794584067459	0.674817713707423	0.301023129639963	0	0	0	0.992798621947897	0.927536314822494	0.996858438507859	0	0	0
29819	4.52405322922432	0.0157740374831699	0.28229790256769	0.26652386508452	0	0	0	0.999995433809565	0.999806752693969	0.999865790762458	0	0	0
66799	4.47336940914936	0.586397567355787	0.620527546489673	0.034129979133886	0	0	0	0.991758651356139	0.988687002244832	0.999982635303165	0	0	0
67923	5.65450500806288	0.953820589215879	0.698070428248201	-0.255750160967678	0	0	0	0.62634256792392	0.970920038602545	0.999768470307258	0	0	0
70397	4.08988355517564	0.857528254990636	0.366133482327573	-0.491394772663063	0	0	0	0.834873679702035	0.999339873421524	0.997424941277706	0	0	0
17087	1.39762780239325	-1.9895331521393	-1.33649775610034	0.653035396038954	-4.15370243704086	-1.39601601946391	0	0.00161518741222314	0.100214934516526	0.930540854774935	-1	0	0
57339	1.88077182849784	0.140457194387245	1.7126234087227	1.57216621433546	0	3.77925269105229	3.07601642717685	0.99960182726972	0.00272278389887351	0.00765202440463254	0	1	0
94227	2.0173052356813	4.03224876314851	5.09357583436904	1.06132707122053	4.03815739467804	5.089820455566	0.0699854311630782	0.00197079723610833	0.000511440963072135	0.496299832561405	1	1	0
