gene	spt7.del	wt
PHO8	10.1596569343469	9.73399317475277
CWC21	8.21103166817913	8.94141447094291
KRE2	11.6153905472338	11.8376161077538
VPS52	9.04041028309499	8.82324302916601
VPS72	10.0278230806791	9.90988408564401
VPS60	11.2335777373408	11.023511804927
RIB3	11.4728583486464	11.7562560772867
PAC11	7.70414573214381	7.81940633919472
SLD5	8.77728162050271	8.83486603836202
PKH1	11.1876118833886	11.6778605573513
YDR491C	6.40324215450214	6.3505927163912
IZH1	10.7101004077878	11.1369590803072
AIM8	9.07167955493997	9.14839777201469
RSM28	6.74281466986289	6.73141407603807
VPS3	9.59570318391325	9.20331374009526
PUF6	11.4630542968957	11.7301516731733
ITR1	13.4802726966683	13.7245245112886
SEC20	9.41201721947118	9.41124827072274
LCD1	8.58558978639113	8.55969829103964
RPL37B	14.4879907252955	14.7192390672435
PLM2	8.46605198279977	8.47802937860593
SAM2	13.1339818272363	13.5996223218291
LPP1	9.93044167303866	10.2031644423152
SPG3	10.7982611733122	10.4656786327316
PSP1	10.4490557650225	10.3343626826948
YDR506C	8.78977488905453	8.95069294292198
GIN4	10.4179474259113	10.2206927114691
GNP1	11.672040748837	12.6605486115853
YDR509W	6.37310005012058	6.49415316196346
SMT3	11.1955998214998	11.5404235234226
ACN9	8.95678560090614	9.28377595868342
EMI1	6.73584707202618	6.82230951298725
GRX2	11.7917286201998	11.2758218729829
YDR514C	9.78696711562216	9.9145331316199
SLF1	9.50597030117337	9.76050040828943
EMI2	10.455090862013	10.6768386064742
GRH1	9.81632930386497	9.90537948312657
EUG1	10.381575395236	10.1782913699566
FPR2	12.2027146199573	11.8827614860952
URC2	9.38960122678738	9.13909340310633
YDR521W	7.41230732228271	7.54983856348704
SPS2	6.41324880157163	6.18354606310827
SPS1	6.69667548129516	6.70503790909633
AGE1	9.6602437507551	9.67293267123529
API2	7.07308113398255	7.07200930308438
SNA2	11.5804328865451	10.9431008475708
YDR526C	7.1084094547639	7.22825111881672
RBA50	11.1773136367981	11.5677849947139
HLR1	9.41516922372054	9.27627099425827
QCR7	12.4540139140963	12.2209042773647
APA2	9.28220811004052	9.14644393800259
CAB1	11.478956642099	11.6945711848417
YDR532C	10.3464472479913	10.2069166725386
HSP31	9.31229986163956	10.5612497528647
FIT1	8.42709909570271	8.57801787118795
YDR535C	6.24409358696351	6.35198690901431
STL1	7.9626010756056	8.17840591442432
YDR537C	6.27010092920158	6.21059732006509
PAD1	10.3401727920507	10.4306616227536
YDR539W	7.10915157917052	6.99831963458893
IRC4	7.58149436457784	7.84961777527194
YDR541C	9.38832947661063	9.53332194445733
PAU1	9.09214399736825	8.7638065882946
YDR543C	7.80031752878961	7.27216319537305
YDR544C	8.79187266318216	8.73001832202774
IRC22	12.2004756630247	12.0018127960177
WBP1	13.1222828377521	12.6253732404715
GIM4	12.0864447721567	12.0643520661361
YEA4	9.97819562968165	9.69014991797998
VAB2	10.1151217018848	9.89864068500498
YEA6	10.5485907505485	10.4019781124255
YEL007W	11.3205467295386	11.5259611847321
YEL008W	6.4356719275869	6.33774676663877
GCN4	14.237187549204	13.8590396970892
YEL010W	6.49104977247769	6.31037829626111
GLC3	9.99305159531495	9.84623159376447
UBC8	9.54692146194854	9.35820502818586
VAC8	11.4502782109787	10.9851090211376
YEL014C	6.35582501548115	6.52115755270136
EDC3	10.8856429956855	10.8203624794259
